번호,총량지점명,일자,수온(℃),수소이온농도(pH),전기전도도(?S/㎝),용존산소(㎎/L),BOD(㎎/L),COD(㎎/L),부유물질(㎎/L),총질소(T-N)(㎎/L),총인(T-P)(㎎/L),총유기탄소(TOC)(㎎/L),유량(㎥/s)
811,미호A1,2019.04.02,9.2,7.7,603,12.4,4.4,6.8,7.9,3.336,0.352,4.5,0.44
812,미호A2,2019.04.02,10.5,7.5,567,13.3,38.6,39.1,8.1,3.498,0.497,20.2,0.318
813,미호B,2019.04.02,13.6,7.6,746,11.5,4.1,8.8,7.4,4.495,0.16,5.9,12.82
814,미호B1,2019.04.02,10.6,7.9,343,12.6,1.6,3.8,3.7,1.956,0.174,2.4,0.373
815,미호B2,2019.04.02,10.7,7.5,287,11.8,7.9,5.1,5.9,1.524,0.327,2.7,0.229
816,미호B3,2019.04.02,15.2,8.4,319,13.3,3.3,6.7,7.5,2.139,0.233,3.4,0.087
817,미호B4,2019.04.02,17.2,7.4,1678,10,2.2,6.9,6.9,11.4,0.151,5.1,1.562
818,미호C,2019.04.02,10.8,8,742,11.3,5.9,9.7,11.8,5.619,0.221,6.5,13.79
819,미호C1,2019.04.02,11.9,7.5,600,12.4,1.6,5.3,3.1,3.173,0.134,3.2,0.773
820,병천A,2019.04.02,9.6,7.7,432,11.3,2.7,6.3,4.2,2.992,0.239,3.8,1.278
821,유등A,2019.04.02,8.7,7.8,287,14.3,1,2.7,1.1,2.072,0.01,1.2,0.797
822,금본H,2019.04.03,10.4,7.8,521,10.9,3.7,7.5,8.8,4.65,0.188,5.2,32.108
823,금본H-1,2019.04.03,11.2,8.1,512,12.9,3.5,7.9,5.9,4.629,0.146,4.8,32.373
824,금본H1,2019.04.03,8.5,7.7,184,11.5,0.6,2.6,6.9,2.325,0.052,1.2,0.603
825,금본I,2019.04.03,10.9,9.3,491,15.2,5.1,10.8,15,4.653,0.19,6.6,35.225
826,금본J,2019.04.03,11.6,9.4,451,13.4,4.6,10,16.8,4.197,0.217,7.1,36.179
827,금본J1,2019.04.03,12.2,8.2,210,11.4,1.6,4.7,9.8,2.334,0.121,2.5,1.193
828,금본K,2019.04.03,11.6,8.4,472,14.8,6,10.1,17.8,4.163,0.154,7.1,39.35
829,금본K1,2019.04.03,12.3,8.2,327,13.4,1.6,4.3,10.3,3.6,0.189,2.6,0.172
830,금본L,2019.04.03,11.2,8,475,11.1,2.6,7.2,7,4.007,0.089,4.2,40.873
831,논산A,2019.04.03,11.8,9.5,433,10.8,5.5,11,11,5.791,0.247,7.7,1.878
832,대교천2,2019.04.03,9.9,7.9,372,13.2,1.6,4.3,1.2,2.988,0.196,2.3,0.265
833,석성천2,2019.04.03,11.1,8.4,395,15.3,5.3,10.5,26.1,3.858,0.348,7.6,0.365
834,길산천2,2019.04.04,11.4,9,315,11.8,5.1,8.9,19.7,2.67,0.142,7.2,
835,논산A1,2019.04.04,11.3,7.9,129,12.2,0.4,1.8,0.9,2.006,0.055,1.3,0.677
836,논산A2,2019.04.04,7.2,7.7,191,12.3,0.6,2.7,9.6,2.79,0.163,1.5,0.17
837,논산A3,2019.04.04,9.6,8.2,244,12.7,0.8,2.4,3.2,2.391,0.125,2,0.129
838,산북천,2019.04.04,11.4,8.3,512,11.2,10.2,15.3,47.9,9.468,0.439,11,
839,갑천A,2019.04.08,17.5,7.6,710,10.7,3.9,10,5.4,7.179,0.266,6.5,9.093
840,금본F,2019.04.08,6.1,7.2,153,11.1,0.7,4.4,1.2,1.971,0.091,2.4,12.66
841,금본G,2019.04.08,13.3,7.6,371,11.1,2.1,7.4,4.8,4.334,0.175,4.1,22.654
842,금본G-1,2019.04.08,13.4,7.3,363,12.4,2.3,7.2,3.8,4.058,0.11,4,19.304
843,금본G1,2019.04.08,14.2,8.3,227,11.7,1.1,3.4,3.2,1.68,0.08,1.7,0.094
844,금본G2,2019.04.08,20.9,9,373,11.6,3,5.3,65.4,2.481,0.241,2.2,0.159
845,무심A,2019.04.08,13.3,7.9,300,12.3,7.9,11,28.8,2.135,0.4,7,1.219
846,무심A1,2019.04.08,12.6,9.1,278,14.4,7.6,10.6,37.7,1.842,0.383,6.4,0.455
847,미호A,2019.04.08,12.8,7.7,772,10.2,3.5,7.8,9.8,3.291,0.232,4,1.82
848,미호A1,2019.04.08,13.6,7.6,632,11.3,7.7,8.4,12.3,5.111,0.342,5.1,0.33
849,미호A2,2019.04.08,14.7,8.2,518,14.9,7.7,8.8,5.8,3.27,0.262,5.3,0.295
850,미호B,2019.04.08,17,7.5,788,11.1,6.3,10.2,11.9,6.86,0.181,6.3,9.615
851,미호B1,2019.04.08,14,7.8,351,11.8,2,4.2,7.6,2.679,0.178,2,0.369
852,미호B2,2019.04.08,15.1,7.9,311,13.5,3.8,6,9.5,2.576,0.152,2.4,0.201
853,미호B3,2019.04.08,18.7,8.5,318,14,3.6,6.4,5.9,2.595,0.29,3.4,0.086
854,미호B4,2019.04.08,20.1,7.7,1755,9.2,5.2,7.3,7.1,16.952,0.167,5.8,1.373
855,미호C,2019.04.08,15.1,7.5,770,10.5,7.6,10.5,13.3,5.904,0.218,6.1,9.697
856,미호C1,2019.04.08,15.3,7.6,614,12,2.2,5.6,4.1,4.695,0.091,3.2,0.935
857,병천A,2019.04.08,13.3,7.8,503,9.2,2.7,7,4,4.165,0.224,4.4,0.829
858,유등A,2019.04.08,12.6,8.1,294,12.8,1.1,3.2,2.1,2.066,0.09,1.2,0.714
859,금본H,2019.04.09,14.1,7.8,530,11.7,3.7,8.4,11.6,5.183,0.22,5.1,34.059
860,금본H-1,2019.04.09,14.1,7.6,517,10.7,3.3,8.1,8.9,4.99,0.169,4.6,34.286
861,금본H1,2019.04.09,13.6,8,194,10.4,1.2,2.6,5.3,2.208,0.087,1.1,0.221
862,금본I,2019.04.09,13.3,9,495,15.6,4.1,9.9,11.9,4.79,0.15,6.1,36.239
863,금본J,2019.04.09,12.6,9.2,480,15.9,4.4,10.1,14,4.62,0.178,6.5,36.658
864,금본J1,2019.04.09,14.5,8.4,222,11.7,1.8,5.3,15.3,2.258,0.117,2.2,0.736
865,금본K,2019.04.09,12.3,8.7,468,12.3,4.1,9.1,11.8,4.292,0.147,5.7,39.147
866,금본K1,2019.04.09,13,7.7,357,8,2.1,4.5,12.6,3.187,0.17,2.2,0.128
867,금본L,2019.04.09,12.3,7.9,478,13,3.6,7.4,7.6,4.101,0.103,4.5,40.486
868,논산A,2019.04.09,12.8,9,453,12.6,8,10,13.3,5.301,0.33,5.7,1.337
869,대교천2,2019.04.09,13.5,8.8,365,13.6,4.1,7.9,9.7,2.99,0.216,4.1,0.227
870,석성천2,2019.04.09,14.6,9.4,410,16.3,5.7,14.6,42,4.494,0.362,8.2,0.297
871,길산천2,2019.04.10,10.9,8,237,9,5.6,10.4,50,1.651,0.198,7.3,
872,논산A1,2019.04.10,10.6,7.8,130,11.7,0.5,2.4,1.3,1.853,0.033,0.9,0.827
873,논산A2,2019.04.10,8.2,7.9,157,11.5,1.5,4.9,21.3,2.646,0.141,2.7,0.296
874,논산A3,2019.04.10,8.9,8.1,195,11.2,2.6,7.4,11,2.836,0.245,3.9,0.686
875,산북천,2019.04.10,8.6,8.1,299,9.4,8.1,13.6,115.5,6.813,0.527,9,
876,금본A,2019.04.11,9,7.8,158,12.6,1.3,4.8,12.6,2.874,0.079,2.5,12.218
877,금본B,2019.04.11,9.2,7.2,111,12.1,0.6,3.9,1.3,1.535,0.04,2.2,7.97
878,금본B1,2019.04.11,7.5,8,83,9,0.8,2.9,9.8,1.704,0.048,1.6,3.684
879,금본B2,2019.04.11,8.5,8,79,8.7,0.6,2.4,3.8,2.698,0.032,1.3,3.909
880,금본C,2019.04.11,9.9,7.8,107,12.2,1.1,4.9,4.9,2.088,0.048,2.6,31.17
881,금본C1,2019.04.11,9.3,7.8,100,12.5,1,4.1,3.2,2.582,0.095,2.6,23.761
882,금본D,2019.04.11,10.4,7.7,131,11.3,2,4.1,7.8,1.882,0.059,2.5,46.957
883,금본E,2019.04.11,10.3,8.1,155,11.2,2.1,5.8,13.9,2.382,0.061,3.5,65.524
884,금본F1,2019.04.11,10.5,7.6,75,8.3,0.4,2.4,10.9,2.65,0.048,1.4,1.068
885,금본F2,2019.04.11,10.3,8.1,231,12.6,1,3.2,3.3,3.163,0.051,2.1,0.976
886,보청A,2019.04.11,9.3,7.4,251,11.5,1.2,4.5,34.6,2.707,0.08,2.7,6.894
887,초강A,2019.04.11,9.4,7.4,143,11.5,1.7,6.5,12.8,3.258,0.072,4,19.914
888,초강A1,2019.04.11,8.4,7.9,115,12.1,0.8,4.2,5.5,2.799,0.068,2.7,1.412
889,길산천2,2019.04.16,16.6,8.8,305,12.5,2.9,8.6,11,1.749,0.198,5.1,
890,논산A1,2019.04.16,12.9,8,112,11.3,0.5,1.8,0.9,1.944,0.019,1,1.037
891,논산A2,2019.04.16,10.3,7.8,180,11.6,0.5,2.1,7.1,2.525,0.143,1.4,0.214
892,논산A3,2019.04.16,14.1,8.1,212,9.9,1.6,5.2,5.7,1.649,0.115,3,0.127
893,산북천,2019.04.16,14.2,7.6,333,8.7,4.3,9.4,11.9,6.169,0.469,6.7,
894,갑천A,2019.04.17,17.3,7.3,629,9.3,3.1,8.2,6.4,5.357,0.217,5.8,7.14
895,금본F,2019.04.17,6.6,7.4,152,11.2,0.5,4.2,0.9,1.732,0.02,2.3,12.625
896,금본G,2019.04.17,14.9,7.5,324,10.5,2.3,6.5,4.6,3.74,0.17,4,20.93
897,금본G-1,2019.04.17,15.8,7.2,306,12.9,2,6.4,3.9,3.126,0.103,3.6,18.402
898,금본G1,2019.04.17,15.8,8.2,217,13.2,0.5,3,3.3,1.7,0.076,1.6,0.092
899,금본G2,2019.04.17,23.8,9,358,13.7,0.4,3.8,15.2,2.163,0.154,2.3,0.198
900,무심A,2019.04.17,16.2,7.5,290,14.6,9.1,10,21.5,2.368,0.469,7.9,1.515
901,무심A1,2019.04.17,14.4,8.8,270,10.9,4.8,7.8,15.7,1.893,0.148,4.5,0.485
902,미호A,2019.04.17,13.9,7.4,626,12,8.3,10.2,16.2,2.742,0.182,6.1,0.516
903,미호A1,2019.04.17,14.4,7.5,583,9.5,5.9,8.1,5.9,5.768,0.304,4.9,0.234
904,미호A2,2019.04.17,18.4,8.4,520,13.8,8.7,10.8,14.7,4.146,0.338,6.8,0.245
905,미호B,2019.04.17,20.2,7.6,810,13.8,9.1,12.7,17.3,6.778,0.254,9,13.861
906,미호B1,2019.04.17,15.2,7.7,334,10.2,1.5,3.7,5.6,2.124,0.117,2.1,0.012
907,미호B2,2019.04.17,16.3,7.6,303,12.2,7.2,10.6,18.1,2.671,0.191,5.5,0.277
908,미호B3,2019.04.17,21.8,8.5,347,14.1,3.3,7.3,7.7,2.305,0.226,4.2,0.016
909,미호B4,2019.04.17,20,7.4,1668,8.8,3.6,7.4,12.4,15.622,0.081,5.5,1.829
910,미호C,2019.04.17,16.5,7.6,784,10.4,9.5,12.6,18.5,5.94,0.275,8,9.859
911,미호C1,2019.04.17,16.2,7.6,605,12.4,0.9,5,5.8,4.087,0.128,2.9,0.933
912,병천A,2019.04.17,16,7.6,534,9.7,2.2,6.8,6.3,3.657,0.244,4.3,0.558
913,유등A,2019.04.17,16.1,8,270,12.6,0.7,2.9,2.7,2.231,0.02,1.3,1.14
914,금본H,2019.04.18,16.5,7.5,502,11.1,4.3,8.7,9.6,4.096,0.179,5.7,29.953
915,금본H-1,2019.04.18,16.8,8.1,468,11.8,3.6,8.4,9.7,1.31,0.052,5.4,30.223
916,금본H1,2019.04.18,14.3,7.6,174,10,0.5,2.6,6.6,1.915,0.045,1.5,0.727
917,금본I,2019.04.18,16.1,9.4,423,18.7,4.9,10.1,8.4,3.521,0.181,6.6,32.696
918,금본J,2019.04.18,14.9,9.2,350,17,4.2,10.5,15.8,3.339,0.098,6.8,32.274
919,금본J1,2019.04.18,16.8,7.9,185,9.8,1.4,4.9,20,2.642,0.174,2.3,1.21
920,금본K,2019.04.18,14.8,8.4,449,12.2,5.6,9.4,15.2,3.615,0.143,6,35.948
921,금본K1,2019.04.18,17.6,7.9,305,10.2,1.1,4.9,42.6,1.161,0.144,3.2,0.164
922,금본L,2019.04.18,15.2,8,597,12,3.3,7.7,6.6,3.396,0.091,4.6,37.29
923,논산A,2019.04.18,15.6,8.8,370,12.9,4.4,8.5,16.1,4.088,0.263,4.9,2.542
924,대교천2,2019.04.18,15.7,8.2,340,11.6,2.4,5.9,5.7,3.055,0.199,3,0.27
925,석성천2,2019.04.18,17.1,7.8,361,10.3,5.2,9.2,30,3.723,0.311,5.9,0.332
926,금본A,2019.04.19,15,7.8,164,12,1.5,3.6,8.1,3.466,0.102,2.5,4.631
927,금본B,2019.04.19,12.5,7.9,116,12,1.2,4.1,1.6,1.565,0.03,2.4,7.627
928,금본B1,2019.04.19,12.6,8.1,124,12.5,0.6,3.4,3,2.511,0.042,1.4,1.116
929,금본B2,2019.04.19,14.5,7.8,91,11.1,0.5,3.2,4.3,2.493,0.02,1.3,1.11
930,금본C,2019.04.19,16.1,8,119,9.8,1.3,4.1,2.9,1.635,0.038,2.2,3.704
931,금본C1,2019.04.19,15.5,8.5,123,12.3,0.8,4,2.6,1.812,0.047,1.6,6.287
932,금본D,2019.04.19,16.1,7.6,132,9.7,1.4,4.2,3.1,1.728,0.031,2.2,13.441
933,금본E,2019.04.19,15.9,7.8,147,9.3,1.4,4.2,4.3,2.011,0.05,2,15.95
934,금본F1,2019.04.19,16.3,7.5,97,10.6,0.3,2.7,3.9,1.968,0.033,1.2,0.156
935,금본F2,2019.04.19,17,8.5,295,12.9,1.4,4.2,2.8,2.174,0.048,1.9,0.195
936,보청A,2019.04.19,15,7.7,269,9.6,1.3,4.3,9.9,2.886,0.075,2.1,1.948
937,초강A,2019.04.19,16.2,8.4,152,10.7,1.5,4,2.6,2.408,0.032,2.2,2.551
938,초강A1,2019.04.19,13.6,7.6,144,10.5,0.4,3.4,1.6,2.418,0.065,1.6,0.216
939,갑천A,2019.04.22,22,7.6,694,10.4,3.3,9.4,5,6.141,0.217,6.3,9.403
940,금본F,2019.04.22,6.4,7.3,154,10.8,0.9,4.1,1.2,1.661,0.035,2.6,12.74
941,금본G,2019.04.22,16.6,7.6,341,10.5,1.5,6.5,5,3.431,0.177,4.1,23.16
942,금본G-1,2019.04.22,17.4,7.7,336,12.7,2.9,7.4,6.1,3.53,0.089,4.4,21.194
943,금본G1,2019.04.22,19.8,8.2,226,11.7,1.4,4,6.5,1.269,0.1,2.5,0.093
944,금본G2,2019.04.22,28.7,9.3,346,14.9,2.1,4.4,7.6,1.509,0.179,2.9,0.169
945,무심A,2019.04.22,19.3,8.4,282,15.5,8.8,11.5,26.3,2.166,0.344,7.5,1.431
946,무심A1,2019.04.22,17.2,8.8,269,14.8,7.2,9.5,24,1.627,0.189,6,0.398
947,미호A,2019.04.22,19.5,8.3,648,11.1,6.7,10.3,24.3,2.358,0.25,6.7,0.405
948,미호A1,2019.04.22,17.4,7.6,643,7.2,7.6,8,9.1,5.619,0.296,5.4,0.096
949,미호A2,2019.04.22,22.7,8.9,547,12,5.1,8,8.8,3.123,0.305,4.4,0.21
950,미호B,2019.04.22,23,8.3,767,13.7,7.8,13.4,17,5.735,0.167,8.7,14.155
951,미호B1,2019.04.22,18.6,8.6,329,10.3,3.8,5.9,11.9,2.052,0.202,3.7,0.402
952,미호B2,2019.04.22,19.8,7.6,314,7.4,3.9,6.1,10.3,2.081,0.082,3.6,0.095
953,미호B3,2019.04.22,25.4,9.1,336,11.4,5,9.1,15.3,1.802,0.208,5.7,0.015
954,미호B4,2019.04.22,21,8,1208,10,4.7,8.1,13,10.73,0.162,6.1,2.276
955,미호C,2019.04.22,18.9,8.2,788,12.5,8.9,13,22,5.705,0.314,7.6,9.837
956,미호C1,2019.04.22,19,7.7,608,11.6,2.2,5.8,5.8,4.266,0.154,3.6,0.743
957,병천A,2019.04.22,22.6,9.1,514,22.6,6.7,15.7,30.7,4.02,0.389,10.2,0.391
958,유등A,2019.04.22,17.5,7.8,284,11.8,0.8,3,3.3,1.823,0.053,1.3,0.731
959,금본H,2019.04.23,19.3,8.2,510,10.5,4.2,9.1,10.2,3.818,0.138,6.2,31.987
960,금본H-1,2019.04.23,20,8.4,493,11.6,4.7,9.1,6.7,3.625,0.096,6.4,32.3
961,금본H1,2019.04.23,19,7.8,187,9.2,1,2.7,8.3,1.718,0.057,1.6,0.296
962,금본I,2019.04.23,19.2,9.2,464,14.5,4.7,9.8,10.8,3.316,0.106,6.5,34.176
963,금본J,2019.04.23,17.8,9.1,405,13.9,4.3,8.9,9.5,3.091,0.172,5.6,36.462
964,금본J1,2019.04.23,19.9,7.9,203,9,1.5,5.3,13.5,1.923,0.088,3.1,0.791
965,금본K,2019.04.23,17.5,8.4,424,11.7,2.8,7.4,17.3,3.187,0.121,4.7,39.521
966,금본K1,2019.04.23,21.2,7.8,350,9.9,7,8.9,90,2.443,0.179,8,0.088
967,금본L,2019.04.23,17,8.5,487,10.1,3.5,8,11,3.157,0.083,4.8,40.773
968,논산A,2019.04.23,19,8.2,320,10,5,7.8,15.8,3.79,0.12,5.1,1.988
969,대교천2,2019.04.23,19,8.1,345,11.6,2.9,6.2,10.7,2.265,0.106,3.5,0.313
970,석성천2,2019.04.23,21.2,8.4,427,11.5,9.3,12.2,23.6,2.473,0.218,8.6,0.288
971,금본A,2019.04.24,16.2,8.3,176,10.9,2.1,4.7,11.1,2.678,0.102,2.3,5.497
972,금본B,2019.04.24,12.1,7.5,114,10.8,0.8,4.2,1.6,1.429,0.068,2.4,7.518
973,금본B1,2019.04.24,14.1,7.7,127,11.2,1.5,5,16.1,1.956,0.114,2.8,1.841
974,금본B2,2019.04.24,15.7,7.8,91,11.1,0.8,3,5.8,1.928,0.039,1.5,1.135
975,금본C,2019.04.24,17.9,7.4,124,9.7,1.5,4.7,5.6,1.258,0.102,2.4,7.578
976,금본C1,2019.04.24,17.7,8.3,138,10.6,1.8,4.3,5.5,1.364,0.102,2.1,5.444
977,금본D,2019.04.24,18.4,7.3,143,8.6,2.5,5.2,14.6,1.299,0.083,2.8,17.41
978,금본E,2019.04.24,18.7,7.8,158,9.2,1.8,4.5,5.4,1.272,0.093,2.3,14.504
979,금본F1,2019.04.24,15.7,7.6,82,10.6,0.5,3,5.1,2.019,0.163,1.7,0.681
980,금본F2,2019.04.24,16.6,8.2,286,11.8,2.1,5.1,6,2.225,0.109,3.5,0.342
981,보청A,2019.04.24,16.6,7.6,254,9.9,1.9,4.9,22.8,1.772,0.087,2.5,7.109
982,초강A,2019.04.24,18.6,7.8,168,9.9,1.8,4.7,4.6,1.154,0.061,2.7,3.993
983,초강A1,2019.04.24,15.7,7.4,141,9.2,1,4.5,3.7,1.767,0.061,2.6,0.405
984,길산천2,2019.04.25,18.2,7.9,385,8.3,4.9,9.1,14,1.823,0.154,5,
985,논산A1,2019.04.25,16.4,7.5,120,9.1,0.7,3.3,1.8,1.392,0.045,1.5,1.449
986,논산A2,2019.04.25,14.3,7.7,196,9.4,1.4,3.9,8.1,2.155,0.167,1.9,0.212
987,논산A3,2019.04.25,17.2,7.8,205,8.2,2.8,7.4,4.4,1.465,0.172,4.2,0.116
988,산북천,2019.04.25,18.5,8.6,376,8.6,7.7,10.5,7.8,5.634,0.182,6.6,
989,갑천A,2019.04.29,17.7,7.4,506,9.3,4.9,8.8,6.6,5.456,0.152,5.3,12.246
990,금본G,2019.04.29,14.6,7.6,306,9.6,2.4,6.2,5.4,3.169,0.085,3.9,26.981
991,미호C,2019.04.29,16.8,8.2,642,12.1,7.9,13.6,29.7,4.378,0.201,8.6,13.539
992,논산A,2019.04.30,15.8,7.9,387,10,6.3,11.7,13.3,4.771,0.21,7.2,8.175
993,길산천2,2019.05.07,18.2,8.3,399,9.5,4.2,9.3,18.7,1.822,0.129,6.1,
994,논산A1,2019.05.07,16,7.6,118,10.4,0.6,2.2,1.2,2.035,0.015,0.9,0.996
995,논산A2,2019.05.07,13.3,7.7,217,11.5,0.8,2.5,5.8,2.357,0.051,1.2,0.091
996,논산A3,2019.05.07,15.8,7.6,177,9.8,1.6,6.4,4.5,1.172,0.075,3.7,0.425
997,산북천,2019.05.07,19.3,9.1,405,11.3,7.6,12.7,15,3.888,0.155,7.9,
998,갑천A,2019.05.08,22.5,7.6,819,8.9,7.1,12.4,10.8,6.846,0.22,8.5,11.389
999,금본F,2019.05.08,7,7.5,155,10.8,0.4,4,0.9,1.888,0.052,2.4,41.38
1000,금본G,2019.05.08,11.7,7.6,237,11.5,1.8,5.5,4.5,2.59,0.071,3.6,54.246
1001,금본G-1,2019.05.08,13.1,7.7,237,12.5,1.7,5.2,4.4,2.379,0.046,3.3,54.506
1002,금본G1,2019.05.08,17.2,8.2,219,11,0.8,3.9,3.7,1.105,0.071,2.2,0.104
1003,금본G2,2019.05.08,22.2,8.7,300,11.8,2.6,6.6,41.7,2.345,0.146,4.4,0.459
1004,무심A,2019.05.08,13.7,7.9,190,11.5,3.3,6.4,10.7,1.53,0.104,3.6,5.49
1005,무심A1,2019.05.08,17.7,9.3,248,14.7,9.3,13.8,33.2,1.24,0.235,9.9,0.265
1006,미호A,2019.05.08,17,8.7,319,11.4,5.6,9.6,32.7,1.372,0.164,6.1,0.405
1007,미호A1,2019.05.08,15.8,7.5,496,9.9,5.3,12,36,5.416,0.303,7.6,0.23
1008,미호A2,2019.05.08,16.8,8.2,290,12.4,2.7,7.2,14.8,2.773,0.145,5.2,1.224
1009,미호B,2019.05.08,20.5,8.2,712,10.7,6.9,13.2,14.8,5.328,0.14,9.1,10.985
1010,미호B1,2019.05.08,18.1,8.4,328,13.5,3.1,5.3,9.6,1.274,0.084,3.8,0.21
1011,미호B2,2019.05.08,16.7,7.5,329,11.2,1.2,3.7,18.6,2.484,0.049,1.5,0.038
1012,미호B3,2019.05.08,22.9,9,319,16.2,6.3,9.4,14.6,1.406,0.197,7.5,0.012
1013,미호B4,2019.05.08,20.5,7.8,1375,10.3,4.5,7.8,9.2,12.266,0.109,5.8,2.017
1014,미호C,2019.05.08,19.2,8.1,664,12,7.6,14.4,24.7,4.639,0.215,9.4,9.876
1015,미호C1,2019.05.08,18.3,8.1,545,13,2.8,6.7,8.2,4.621,0.081,4.7,0.439
1016,병천A,2019.05.08,17.5,9.1,630,18.1,10.8,14.7,21.7,3.865,0.267,9.4,0.227
1017,유등A,2019.05.08,15.2,8,266,12.2,0.6,2.4,3.4,2.027,0.057,1.2,1.272
1018,금본H,2019.05.09,14.8,8,332,11.1,3,6.8,15,3.008,0.104,4.5,63.368
1019,금본H-1,2019.05.09,15.3,7.8,317,12.1,2.5,6.8,7.8,3.302,0.082,4.1,63.73
1020,금본H1,2019.05.09,17.1,7.6,175,9.4,1.1,2.9,7.7,2.246,0.048,1.6,0.329
1021,금본I,2019.05.09,16.8,8.7,310,14.1,2.8,7.5,12,3.037,0.151,4.7,65.297
1022,금본J,2019.05.09,18.5,8.9,329,12.1,2.7,7.6,13.7,2.636,0.09,4.4,64.215
1023,금본J1,2019.05.09,17.8,8,243,10.3,3.6,7.2,15.1,2.205,0.121,3.9,0.178
1024,금본K,2019.05.09,18.9,8.2,396,10.5,4.3,8.5,10.6,3.315,0.109,5.2,71.561
1025,금본K1,2019.05.09,18.6,7.7,277,9.8,3.3,8.2,33,3.579,0.154,4.6,0.134
1026,금본L,2019.05.09,17.9,7.8,466,9.6,1.2,6.6,8.8,3.69,0.097,4.5,76.695
1027,논산A,2019.05.09,19,8.1,345,10.3,6.6,10.6,15,3.063,0.134,6.8,3.334
1028,대교천2,2019.05.09,19.2,8.2,342,11.5,1.8,5.4,8.7,1.466,0.085,3.1,0.362
1029,석성천2,2019.05.09,18,7.5,510,8.6,4.8,12.6,36.3,3.937,0.248,9.2,1.758
1030,금본A,2019.05.10,16.9,8.9,191,12.9,1.6,5.1,8.3,3.757,0.094,2.8,3.72
1031,금본B,2019.05.10,16.1,8.2,119,11.7,0.8,4.3,1.4,1.728,0.053,2.4,8.773
1032,금본B1,2019.05.10,13.9,8.1,171,12,1.3,3.7,6.9,2.767,0.066,2.2,0.898
1033,금본B2,2019.05.10,17.7,8.2,98,12.6,1.2,2.9,4.1,2.827,0.044,1.4,0.514
1034,금본C,2019.05.10,17.6,8.2,122,10.2,1.2,4.4,2.8,1.603,0.085,2.5,4.032
1035,금본C1,2019.05.10,17.5,8.5,137,11.9,1.8,3.6,2.6,1.625,0.059,1.8,3.397
1036,금본D,2019.05.10,18.1,8.1,136,10.5,1.3,4.5,3.4,1.594,0.097,2.5,10.706
1037,금본E,2019.05.10,18.7,8.1,149,10.1,1.5,4.4,4.6,1.619,0.067,2.3,12.454
1038,금본F1,2019.05.10,19,7.7,109,10.6,0.7,2.1,1.5,2.84,0.062,1.1,0.119
1039,금본F2,2019.05.10,20.5,8.4,318,13,2.1,4.3,4.9,2.063,0.067,2.4,0.24
1040,보청A,2019.05.10,17,7.5,248,10.2,1.4,5,16.8,3.075,0.062,3.2,3.182
1041,초강A,2019.05.10,19.8,8.4,161,10.5,1.2,4.3,3.2,1.444,0.056,2.5,1.505
1042,초강A1,2019.05.10,14,8.1,150,11.2,1,3.3,1.7,2.906,0.048,1.9,0.152
1043,갑천A,2019.05.13,21.8,7.6,619,8.3,7.1,11.3,7.6,5.056,0.19,6.7,8.633
1044,금본F,2019.05.13,7,7.4,152,10.6,0.8,4.3,1.3,1.871,0.047,2.4,43.569
1045,금본G,2019.05.13,12.4,7.5,229,11.4,1.9,5.7,4,2.821,0.168,3.1,53.633
1046,금본G-1,2019.05.13,13.2,7.4,219,12.6,1.8,5.7,4.6,2.133,0.085,3.6,55.618
1047,금본G1,2019.05.13,19.9,8,231,12.5,1,4,4.8,1.057,0.063,2.2,0.089
1048,금본G2,2019.05.13,24.3,8.7,318,11.4,1.9,6.9,44.8,2.132,0.141,4.1,0.467
1049,무심A,2019.05.13,15,8,189,11.4,3.8,6.6,12.8,1.999,0.123,4,6.04
1050,무심A1,2019.05.13,20.7,8.7,269,12.7,7.3,13.9,24.7,1.126,0.135,9.1,0.219
1051,미호A,2019.05.13,20.4,8.3,386,9.4,4.2,9.4,19,2.117,0.167,6.3,1.454
1052,미호A1,2019.05.13,20.4,7.6,502,9.5,9.4,13.5,39,4.322,0.248,8.8,0.463
1053,미호A2,2019.05.13,19,7.9,248,11.1,4.7,8.2,20.2,2.454,0.152,5.9,1.247
1054,미호B,2019.05.13,22.6,8.8,540,13.4,8.1,14.9,21.5,3.753,0.173,8.9,10.945
1055,미호B1,2019.05.13,20.9,7.6,320,9.3,3.1,7.3,17,2.438,0.126,4.8,0.463
1056,미호B2,2019.05.13,16.4,7.6,328,10.3,1,2.6,2.1,2.411,0.052,1.5,0.027
1057,미호B3,2019.05.13,,,,,,,,,,,
1058,미호B4,2019.05.13,22.9,7.6,1346,9.8,4.9,7.9,8.7,10.424,0.166,5.9,1.915
1059,미호C,2019.05.13,21.9,8.6,574,12.7,7.4,15.5,32.7,3.992,0.207,10.5,12.023
1060,미호C1,2019.05.13,20.6,7.7,532,12.6,2.7,7.7,6.2,4.426,0.12,4.8,0.418
1061,병천A,2019.05.13,22.2,8.4,717,12.8,4.8,12.7,13.6,3.17,0.081,8.9,0.229
1062,유등A,2019.05.13,22.7,8.3,260,12.1,1,3.5,3.8,1.582,0.034,1.5,0.8
1063,금본H,2019.05.14,16.5,8.2,314,10.2,3.5,7.7,10.6,2.756,0.117,4.7,64.416
1064,금본H-1,2019.05.14,16.7,7.8,320,12,3.2,8.1,9.9,2.583,0.116,4.4,64.617
1065,금본H1,2019.05.14,20.5,7.5,217,7.7,0.6,2.9,4.1,1.675,0.035,1.6,0.073
