번호,총량지점명,일자,수온(℃),수소이온농도(pH),전기전도도(㎛hos/㎝),용존산소(㎎/L),BOD(㎎/L),COD(㎎/L),부유물질(㎎/L),총질소(T-N)(㎎/L),총인(T-P)(㎎/L),총유기탄소(TOC)(㎎/L),유량(㎥/s)
1454,금본E,2010.11.01,13,8.4,135,11.4,0.8,3.4,1.4,1.598,0.015,2.6,13.505
1455,금본E,2010.11.08,11,8.3,144,12.3,0.8,3.1,1.2,1.758,0.002,2.9,9.938
1456,금본E,2010.11.15,9,8.7,140,15.6,0.7,3.1,1.2,1.812,0.015,3,12.87
1457,금본E,2010.11.22,9,8.1,130,13.4,0.7,3.2,0.9,1.528,0.021,2.8,12.252
1458,금본E,2010.12.06,7,7.3,141,11.8,0.8,3.3,1,1.661,0.004,2.6,12.252
1459,금본E,2010.12.20,3,7.8,148,14.7,0.7,3.2,1,1.984,0.014,2.2,12.87
1460,금본E,2011.01.17,1,7.7,152,15.3,0.7,3,0.6,2.074,0.003,2.2,13.851
1461,금본E,2011.01.24,0,7.3,133,14.6,0.7,3.2,0.6,1.87,0.008,2.2,14.467
1462,금본E,2011.02.07,1,7.6,125,14.3,0.7,3.3,0.8,1.701,0.013,2.1,13.249
1463,금본E,2011.02.14,0,7.4,137,15,0.7,3.3,0.9,2.114,0.01,2.2,13.249
1464,금본E,2011.02.21,5,7.8,130,15.5,0.7,3.6,1.4,1.75,0.013,2.1,14.467
1465,금본E,2011.03.07,7,7.4,141,14.6,0.7,4.5,2.8,2.279,0.016,1.7,22.163
1466,금본E,2011.03.14,10,8.3,139,15.1,0.8,3.4,1.7,2.224,0.012,1.9,17.754
1467,금본E,2011.03.21,9,7.9,139,12.8,1,3.7,2.3,1.934,0.018,2.1,22.163
1468,금본E,2011.03.28,9,7.7,135,12.7,0.9,4,3.3,2.33,0.012,1.9,19.168
1469,금본E,2011.04.04,12,7.9,126,11.6,1.1,4,3.1,1.869,0.016,2.2,17.754
1470,금본E,2011.04.11,15,8.1,129,14.2,0.8,4.3,4.6,1.734,0.018,2.2,25.386
1471,금본E,2011.04.18,15,7.9,129,14,1.4,5,7.3,1.564,0.027,2.4,18.454
1472,금본E,2011.04.25,13,7.8,132,11.3,1.2,4.2,6,1.863,0.024,2.4,22.948
1473,금본E,2011.05.02,17,7.8,138,10.5,1.4,5.1,19.2,2.687,0.11,3.7,55.633
1474,금본E,2011.05.09,21,8,135,11.1,1.1,4.4,7.1,1.814,0.026,3.1,22.163
1475,금본E,2011.05.16,17,7.3,133,10.3,0.9,4.1,9.5,3.235,0.04,2.2,47.213
1476,금본E,2011.05.23,19,7.4,151,13.2,0.6,3.7,7.4,2.546,0.033,2.4,25.386
1477,금본E,2011.05.30,24,7.9,147,7,1.1,4.5,7,2.198,0.033,3,19.895
1478,금본E,2011.06.07,25,8.4,140,11.7,0.9,4,4.9,1.843,0.054,3.1,16.397
1479,금본E,2011.06.13,25,8.1,143,9.8,0.7,3.9,5,1.576,0.057,2.9,15.74
1480,금본E,2011.06.20,27,8.6,137,10.4,0.7,4.4,4.6,1.501,0.047,2.8,13.851
1481,금본E,2011.06.27,21,7.5,117,8.7,1.3,6.3,34.4,2.718,0.129,3.8,213.941
1482,금본E,2011.07.04,24,7,108,8.5,1.9,11.2,167,1.939,0.372,4.8,418.353
1483,금본E,2011.07.18,24,7.4,109,8.7,1.3,5.9,14.3,2.324,0.072,2.5,149.257
1484,금본E,2011.07.25,24,7.7,132,9.5,0.7,5.1,7.8,2.201,0.047,2.5,59.462
1485,금본E,2011.08.01,28,7.9,145,8.4,1.1,4,9.2,1.998,0.109,3.3,62.088
1486,금본E,2011.08.16,26,7.3,113,8.9,1,4.2,11.7,2.192,0.067,2.6,71.745
1487,금본E,2011.08.22,22,7.4,125,9,0.5,3.9,6.7,2.188,0.055,2.2,62.088
1488,금본E,2011.08.29,27,8.4,139,10,0.8,3.1,3.5,1.645,0.022,2.2,28.836
1489,금본E,2011.09.19,23.5,7.7,144,8.6,0.7,3.9,3.6,1.665,0.029,2.2,24.559
1490,금본E,2011.09.26,21.9,8.9,142,11.1,0.5,3.4,2.6,1.69,0.017,2.4,19.895
1491,금본E,2011.10.04,16.6,8,139,12,0.5,3.2,4,1.481,0.022,3,17.069
1492,금본E,2011.10.10,18.2,8,134,10.8,0.9,3.2,3,1.363,0.015,2.8,17.754
1493,금본E,2011.10.17,16.3,7.6,136,10,0.8,3.5,3,1.51,0.013,2.5,18.454
1494,금본E,2011.10.24,16,7.7,130,10.1,1.7,4.5,6.1,1.744,0.027,2.3,32.516
1495,금본E,2011.10.31,13.8,8,137,13.7,0.2,3.5,2.4,1.619,0.014,2.5,19.168
1496,금본E,2011.11.07,18.1,7.5,148,9.8,0.8,4,10.5,1.728,0.022,2.7,34.442
1497,금본E,2011.11.14,12.7,8.3,139,11.9,0.6,3.4,3.6,1.799,0.013,2.4,22.163
1498,금본E,2011.11.21,9.4,8.1,134,12.1,0.7,4.3,1.8,1.853,0.009,2.6,21.393
1499,금본E,2011.11.28,6.4,7.6,137,13.7,0.9,2.4,1.7,1.985,0.008,2.1,22.163
1500,금본E,2011.12.05,7,7.7,130,14.7,0.9,3.4,8.3,3.12,0.027,2.1,44.939
1501,금본E,2011.12.12,4.5,7.6,139,13.4,0.6,2.8,1.9,3.125,0.014,1.9,23.746
1502,금본E,2012.01.09,0.6,7.5,195,15.1,0.5,3,0.7,2.182,0.005,2.5,15.185
1503,금본E,2012.01.30,1.9,7.7,132,15.3,0.9,3.6,1.9,2.069,0.01,1.4,14.482
1504,금본E,2012.02.06,0.4,7.6,143,15.1,0.8,3.2,1.1,2.152,0.005,2,13.795
1505,금본E,2012.02.13,1.6,7.5,159,14.1,0.8,3.8,1.4,1.811,0.006,2.3,14.482
1506,금본E,2012.02.20,2.5,7.1,132,12.8,0.8,4,1,1.87,0.008,2.2,15.185
1507,금본E,2012.02.27,4,7.4,124,13,1.1,4,1.7,1.926,0.007,2.3,14.482
1508,금본E,2012.03.05,6.3,7.6,133,13.2,1.1,4.2,2.1,3.779,0.021,2.4,17.39
1509,금본E,2012.03.12,6.3,7.8,126,13.6,1.1,4.3,1.6,2.399,0.009,2.7,21.386
1510,금본E,2012.03.19,9.7,7.9,126,12.3,1.2,4.1,3.3,2.041,0.01,2.4,21.386
1511,금본E,2012.04.02,9.4,7.7,118,12.5,0.9,2.6,3.6,2.821,0.017,2.3,58.978
1512,금본E,2012.04.09,12.7,7.7,149,11.2,1,4.3,4,2.463,0.039,2.1,34.68
1513,금본E,2012.04.16,16.3,8.1,155,11,0.8,4,4.5,2.336,0.018,2.4,25.779
1514,금본E,2012.04.23,13.3,7.5,143,10.8,1.3,5.2,8.5,2.374,0.038,2.8,76.511
1515,금본E,2012.05.07,21.2,8.4,146,10.9,1.3,4.9,7.1,1.746,0.024,2.7,21.386
1516,금본E,2012.05.17,19,8.1,123,11.3,1.4,4.6,8.5,1.706,0.023,4.4,20.555
1517,금본E,2012.05.22,20.9,7.8,121,12.8,0.9,5.3,5.8,1.541,0.026,3.7,15.904
1518,금본E,2012.05.29,22.3,8,124,11,0.8,3.8,5,1.326,0.025,3.2,15.185
1519,금본E,2012.06.13,25.6,8.1,152,9.2,0.8,4.6,6.5,1.437,0.023,4.1,20.555
1520,금본E,2012.06.19,26,8.4,154,9.6,1,4,4.6,1.335,0.024,2.8,16.639
1521,금본E,2012.06.28,24.2,8.9,136,9.7,1,4.2,4,1.247,0.013,2.5,13.795
1522,금본E,2012.07.02,25.2,7.7,157,7.4,1.2,4.8,10.4,1.739,0.016,3.4,33.628
1523,금본E,2012.07.12,25,7.8,148,6.3,1.1,6.3,33.4,3.284,0.134,4.2,81.238
1524,금본E,2012.07.17,21.8,7.8,134,7.6,0.8,5.4,16.6,2.876,0.047,3.5,131.909
1525,금본E,2012.07.23,25.5,7.5,130,7.2,0.9,6.1,23.8,2.376,0.071,3.8,94.51
1526,금본E,2012.08.09,30,9.3,136,11.3,0.9,4.5,2,0.972,0.011,2.8,15.904
1527,금본E,2012.08.21,26.9,7.9,145,9,0.8,4.7,7.9,2.557,0.038,3,61.747
1528,금본E,2012.09.01,21.3,8.4,92,9.5,0.8,5.2,12,1.921,0.062,3.2,294.44
1529,금본E,2012.09.06,20.7,8,79,9.8,0.9,6,23.4,1.701,0.046,3.4,457.655
1530,금본E,2012.09.13,21.6,8.1,122,9.7,0.8,4.5,3.8,2.02,0.026,2.3,68.938
1531,금본E,2012.09.18,19.4,7.6,69,11.5,1,7.6,65.2,1.376,0.07,3.5,699.763
1532,금본E,2012.09.27,20.7,8.1,139,10.2,0.9,4.2,1.5,2.345,0.019,1.9,36.83
1533,금본E,2012.10.10,18.2,8.6,137,11.9,1,4.2,1,2.118,0.012,1.8,22.233
1534,금본E,2012.10.15,17.4,8.5,134,11.8,1,3.9,1.2,1.938,0.031,2.6,21.386
1535,금본E,2012.10.24,13.8,8.2,139,11.6,0.9,4.4,2,1.99,0.016,3,31.571
1536,금본E,2012.10.30,14.4,8.2,135,11,0.9,3.1,0.7,1.958,0.017,2.3,25.779
1537,금본E,2012.11.05,11.6,8,132,12.7,0.9,3.8,0.7,1.956,0.011,3.1,23.095
1538,금본E,2012.11.13,9.8,7.5,135,11.8,0.8,3,0.9,1.93,0.012,2.9,31.571
1539,금본E,2012.11.19,9.9,7.6,134,12.4,0.8,4.3,0.6,2.182,0.011,2.1,28.604
1540,금본E,2012.11.29,5.4,7.9,138,14,0.9,4.9,0.7,1.937,0.009,1.9,22.233
1541,금본E,2012.12.04,4.2,8,138,14,0.7,3.5,0.9,3.309,0.039,1.9,21.386
1542,금본E,2012.12.13,0.8,7.8,156,14.7,0.7,5.3,0.5,2.237,0.004,1.8,20.555
1543,금본E,2013.01.14,0.1,7.5,144,16.2,0.7,2.6,0.2,2.312,0.011,2.1,20.775
1544,금본E,2013.01.24,1.8,7.5,137,14.5,0.8,3.6,3.3,2.622,0.019,2.9,66.822
1545,금본E,2013.01.29,0.9,7.7,140,15.5,0.8,2.5,1.4,2.211,0.01,1.8,30.893
1546,금본E,2013.02.05,2.5,7.4,128,13.4,0.8,3.1,2.9,2.412,0.018,1.9,68.385
1547,금본E,2013.02.21,3.7,8.2,133,16.5,1.1,2.9,0.5,2.238,0.01,2.2,25.61
1548,금본E,2013.02.25,5,8.4,139,15,0.7,3.3,2.5,2.197,0.012,2.5,23.622
1549,금본E,2013.03.07,7.3,7.7,131,12.8,0.9,3.7,1.3,1.993,0.006,2.5,25.61
1550,금본E,2013.03.12,10,7.9,128,12.1,1.1,3.5,1.4,2.266,0.018,2.6,29.801
1551,금본E,2013.03.18,10.7,7.5,122,11.4,1.3,3.9,4.9,2.138,0.053,2.4,74.797
1552,금본E,2013.03.28,11.1,7.7,124,12.3,0.9,3.3,1.6,2.169,0.025,2.1,32.002
1553,금본E,2013.04.02,11.2,7.5,130,11.6,1.2,3.7,2.2,2.001,0.031,2.3,25.61
1554,금본E,2013.04.08,10.3,7.5,134,10.9,0.9,4.4,2.9,1.972,0.045,2.7,42.767
1555,금본E,2013.04.18,13.9,7.7,127,10.7,1.1,3.3,2,1.727,0.02,2.5,24.607
1556,금본E,2013.04.23,13.4,7.9,130,11.3,1,4,5,1.801,0.026,2.5,30.893
1557,금본E,2013.04.30,15,7.5,119,11,1,4.1,3.8,1.916,0.019,2.2,45.348
1558,금본E,2013.05.09,19.1,7.9,112,9.5,1.3,3.9,5.3,1.473,0.018,2.6,47.995
1559,금본E,2013.05.16,21,7.7,114,8.4,1.5,4.3,5.6,1.456,0.022,2.8,44.049
1560,금본E,2013.05.23,22.5,7.5,126,9.3,1.2,4.2,7,2.012,0.027,3,32.002
1561,금본E,2013.05.28,21.8,7.4,128,7.9,1.4,4.4,10.2,1.645,0.021,2.8,52.092
1562,금본E,2013.06.07,27,8,135,8.8,0.8,5.9,8,1.544,0.011,2.7,24.607
1563,금본E,2013.06.10,25.1,8.3,138,9,1.1,4,5,1.42,0.014,2.7,20.775
1564,금본E,2013.06.20,24.5,7.4,132,7.7,1.4,6.9,27.4,2.628,0.089,4.9,66.822
1565,금본E,2013.06.25,27.1,8.4,151,9.4,1,4.1,6.8,1.931,0.039,2.8,27.67
1566,금본E,2013.07.04,27.3,7.9,149,7.4,0.9,3.2,5.1,1.174,0.041,2.7,30.893
1567,금본E,2013.07.09,23,7.8,123,8.8,0.9,4.5,9.8,2.388,0.031,2.9,86.632
1568,금본E,2013.07.15,26.7,8,146,8.7,0.9,3.9,5.9,1.846,0.034,2.7,40.255
1569,금본E,2013.07.25,27,8.2,157,8.7,0.8,3,3.8,1.296,0.019,2.7,28.727
1570,금본E,2013.08.06,27.3,7.8,131,8,1.2,4.3,12.5,1.776,0.063,3.4,69.964
1571,금본E,2013.08.19,29.5,8.7,145,8.3,1.2,3.2,2.6,0.886,0.019,2.9,18.968
1572,금본E,2013.08.29,26.7,7.8,132,8.1,1.1,3.3,3.1,1.619,0.024,2.1,36.615
1573,금본E,2013.09.03,23.9,8.1,145,8.4,0.9,3.4,3.7,1.522,0.021,1.9,24.607
1574,금본E,2013.09.09,24.1,8.6,143,9.6,0.8,3.3,3.4,1.446,0.028,1.8,22.655
1575,금본E,2013.09.26,23,9.1,143,10.9,1,3.8,2.4,1.042,0.013,1.8,22.655
1576,금본E,2013.10.08,21.5,8,147,9.2,0.8,3.7,0.5,0.872,0.022,1.9,25.61
1577,금본E,2013.10.15,18.9,8.6,137,11.7,0.9,4,2.7,1.626,0.025,1.8,30.893
1578,금본E,2013.10.21,17.4,9,142,11.9,0.8,3.9,1.4,1.441,0.013,1.7,26.631
1579,금본E,2013.10.31,14.4,8.6,139,13.2,1,3.2,1.3,1.481,0.021,1.7,24.607
1580,금본E,2013.11.05,14.2,8.2,137,11.4,0.8,3.5,1.2,1.626,0.03,1.9,23.622
1581,금본E,2013.11.11,10.6,8.5,145,13.4,0.7,3.1,0.9,1.54,0.014,1.7,25.61
1582,금본E,2013.11.21,5.4,8,151,14.8,1,2.7,0.7,1.741,0.021,1.5,21.706
1583,금본E,2013.11.26,7.1,8.2,151,11.8,0.9,3.1,1.4,1.796,0.019,1.4,30.893
1584,금본F,2008.12.02,13,7.4,137,8,0.8,3.3,1.8,2.909,0.012,2.34,14.79
1585,금본F,2008.12.09,11,7.7,133,8,0.9,2.9,2.3,2.767,0.016,2.32,14.753
1586,금본F,2008.12.16,10,7.4,138,8.2,0.8,2.8,1.6,2.985,0.012,2.17,14.297
1587,금본F,2009.01.06,7,7.4,142,9.7,0.9,3.3,3.4,3.266,0.013,2.2,15.437
1588,금본F,2009.01.13,5,8.3,142,12.2,0.9,2.9,5.1,2.75,0.02,2.1,14.002
1589,금본F,2009.02.03,5,7.3,146,11.2,0.8,3.1,1.2,3.078,0.007,2,12.376
1590,금본F,2009.02.10,5,7.6,142,12.2,0.9,3.1,3.1,3.068,0.009,2.2,12.517
1591,금본F,2009.02.17,5,7.5,145,11.8,1,3.2,1.6,2.84,0.01,2.3,13.109
1592,금본F,2009.02.24,5,7.9,144,13.4,0.9,3.1,1.1,2.951,0.006,2,13.436
1593,금본F,2009.03.03,5,7.6,142,12.8,0.9,3,1.3,3.078,0.005,2,5.574
1594,금본F,2009.03.10,5,7.8,142,12.8,0.9,3,1.3,3.261,0.011,2.1,9.172
1595,금본F,2009.03.17,6,8.1,151,12.5,0.7,3.2,1.5,2.918,0.005,2.2,5.488
1596,금본F,2009.03.24,6,7.7,152,13.1,0.8,3.1,3.1,1.767,0.009,2.3,5.643
1597,금본F,2009.03.31,7,7.6,148,13.5,0.9,3.2,2.1,1.926,0.011,2.1,7.032
1598,금본F,2009.04.07,7,7.9,125,13.1,0.9,3.2,1.2,1.779,0.006,2.1,6.878
1599,금본F,2009.04.14,8,8,150,12.5,0.7,3.1,1.6,2.045,0.007,2.1,5.475
1600,금본F,2009.04.21,10,8.2,148,12.1,0.7,3,1.8,1.691,0.001,2.1,6.81
1601,금본F,2009.04.28,9,7.5,145,13.9,0.8,3,1,1.29,0.01,2,7.238
1602,금본F,2009.05.12,10,7.8,140,10.4,0.8,3.1,2.4,1.286,0.009,2.3,6.207
1603,금본F,2009.05.19,11,7.4,141,9.1,1,3.2,1,2.046,0.009,2.3,7.278
1604,금본F,2009.05.26,11,7.8,144,11.5,0.8,3.1,1.4,1.287,0.008,2,4.921
1605,금본F,2009.06.02,11,7.5,144,11.2,0.7,3,1.6,1.207,0.01,2.1,12.838
1606,금본F,2009.06.09,12,7.5,146,11.2,0.7,3.3,3.4,1.222,0.004,2.4,12.839
1607,금본F,2009.06.16,12,7.4,133,10.3,0.7,3.2,2,1.153,0.016,2.4,10.643
1608,금본F,2009.06.23,13,7.4,133,10.8,0.9,3.2,2.4,2.117,0.019,2.4,12.651
1609,금본F,2009.06.30,16,7.6,152,11.3,0.7,3.4,5.4,1.468,0.021,2.4,18.415
1610,금본F,2009.07.07,16,7.6,148,9.4,0.7,3.3,1.8,1.945,0.014,2.3,14.961
1611,금본F,2009.07.14,16,7.4,170,9,0.8,3.5,2.2,1.386,0.008,2.4,212.346
1612,금본F,2009.07.21,18,7.5,128,8.5,1.1,5.4,35.5,3.94,0.103,3.6,195.816
1613,금본F,2009.08.11,20,7.4,119,7.6,1,4.6,4.6,2.846,0.03,3.5,117.496
1614,금본F,2009.08.18,20,7.2,118,8.3,0.9,4.6,8.5,2.21,0.046,3.1,25.295
1615,금본F,2009.08.25,20,7.2,121,7.5,0.8,4.2,7.7,1.977,0.047,3.2,25.645
1616,금본F,2009.09.08,21,7.7,103,7,0.8,4.3,5.5,1.883,0.073,2.9,17.3
1617,금본F,2009.09.15,20,7.4,119,5.7,0.8,4.2,3.9,1.819,0.03,2.8,11.269
1618,금본F,2009.09.22,21,7.2,122,6.1,0.7,4.5,4.2,2.26,0.023,2.9,11.26
1619,금본F,2009.10.06,21,7.5,124,6.3,0.9,4.4,1.2,1.883,0.015,2.9,11.366
1620,금본F,2009.10.13,19,8,125,8.1,0.7,4.6,4.5,1.805,0.017,2.5,6.432
1621,금본F,2009.10.20,19,7.4,135,6.9,1,4.5,4.4,1.668,0.012,2.8,9.548
1622,금본F,2009.10.27,18,7.5,137,8.4,0.9,4.5,4.1,1.634,0.013,2.6,9.654
1623,금본F,2009.11.03,15,7.4,135,8.5,0.8,4.3,4,1.302,0.013,2.7,8.506
1624,금본F,2009.11.10,17,7.8,123,7.8,0.9,4.4,2.3,1.808,0.012,3.1,9.546
1625,금본F,2009.11.17,16,7.6,124,7.5,0.8,4.1,2.5,1.421,0.014,2.3,9.02
1626,금본F,2009.12.01,13,7.9,147,9.8,0.8,3.6,1.8,1.914,0.01,2.9,12.014
1627,금본F,2009.12.15,10,7.7,150,9.8,0.9,3.6,1.6,2.974,0.012,1.8,12.488
1628,금본F,2009.12.22,9,7.9,148,10.9,0.7,3.6,2.7,1.609,0.023,2.2,12.389
1629,금본F,2010.01.12,5,7.8,149,12.4,0.7,3.6,2.4,1.396,0.008,2.6,12.242
1630,금본F,2010.01.19,6,7.7,148,12.4,0.7,3.2,20,1.318,0.009,2.7,11.175
1631,금본F,2010.01.26,4,7.9,167,11.7,0.8,3,1.8,1.258,0.01,2.2,11.207
1632,금본F,2010.02.02,5,7.7,147,11.5,0.8,3.6,3.2,1.792,0.09,2.3,11.073
1633,금본F,2010.02.17,4,7,151,11,0.7,3.3,1.6,2.952,0.008,2.2,26.198
1634,금본F,2010.02.23,5,7.8,149,13,0.8,3.5,1.8,2.265,0.035,2.3,18.014
1635,금본F,2010.03.09,5,7.7,155,13.9,0.8,3.4,1.7,1.409,0.021,1.9,23.093
1636,금본F,2010.03.16,5,8,147,13.2,0.8,3.4,2.1,1.27,0.007,2,32.088
1637,금본F,2010.03.23,5,7,148,12.6,0.8,3,2.1,1.141,0.007,1,41.362
1638,금본F,2010.03.30,5,7.8,151,12.2,1,3.2,1.4,1.271,0.01,2,72.666
1639,금본F,2010.04.06,6,7.7,151,12.8,0.7,3.3,1.2,1.387,0.008,2,73.506
1640,금본F,2010.04.13,7,7.9,163,13.6,0.7,3.2,1.4,1.412,0.01,1.7,75.852
1641,금본F,2010.04.20,8,6.8,152,13.4,0.7,3.2,1.2,1.612,0.012,2.1,70.708
1642,금본F,2010.04.27,8,8,152,12.1,0.7,3.2,2.7,1.527,0.005,1.6,36.177
1643,금본F,2010.05.04,8,7.7,157,10.4,0.7,3,2,1.578,0.01,1.5,40.632
1644,금본F,2010.05.11,9,8,153,11.5,0.8,3.1,2.5,1.713,0.01,2.9,50.684
1645,금본F,2010.05.18,10,7.7,153,11.4,0.9,3.4,2.6,1.239,0.01,1.5,53.038
1646,금본F,2010.05.25,10,7.8,152,11.7,0.8,3,2.2,2.264,0.007,1.2,54.255
1647,금본F,2010.06.08,11,7.9,156,11.7,0.9,3,1.8,1.741,0.02,0.5,74.287
1648,금본F,2010.06.15,15,7.8,159,10.5,1,3.4,3.2,1.721,0.013,1.4,77.484
1649,금본F,2010.06.22,16,7.5,158,9.4,0.8,3.5,3.2,2.097,0.01,1.1,40.615
1650,금본F,2010.06.29,16,7.7,159,9.5,0.6,3.2,1.3,2.167,0.005,2,29.678
1651,금본F,2010.07.06,16,7.8,160,11.4,0.8,3.2,1.2,1.902,0.009,2.2,17.026
1652,금본F,2010.07.13,18,7.8,159,10.1,0.6,3.2,1.3,1.857,0.017,1.7,17.267
1653,금본F,2010.07.27,18,7,155,10.3,0.9,3.2,1.5,2.061,0.011,1.8,12.274
1654,금본F,2010.08.03,19,7.2,156,6.9,0.8,3.2,1.3,1.95,0.006,1.6,12.197
1655,금본F,2010.08.10,20,7.3,162,8.4,0.8,3.5,4.7,1.742,0.003,1.5,12.291
1656,금본F,2010.08.17,19,7,138,7.9,0.8,3.8,3.6,1.792,0.012,2.4,228.409
1657,금본F,2010.08.24,23,7.3,115,9.7,0.9,4.6,5.3,1.971,0.016,2.8,351.747
1658,금본F,2010.09.07,23,7.2,115,7.1,1,4.2,6.3,1.76,0.044,2.7,224.792
1659,금본F,2010.09.28,23,7.3,119,6.2,0.9,4.6,2.2,1.708,0.03,3.2,36.788
1660,금본F,2010.10.05,22,7.7,116,7.5,0.9,4.2,3.7,1.801,0.033,2.8,17.7
1661,금본F,2010.10.12,22,7.4,121,5.1,1.1,5.1,3.6,1.59,0.013,2.8,17.485
1662,금본F,2010.10.19,22,7.3,124,7.1,1,4.5,4.5,1.871,0.022,2.8,20.202
1663,금본F,2010.10.26,20,7.5,126,6.8,0.8,4.5,4.6,1.861,0.014,2.7,17.368
1664,금본F,2010.11.02,19,7.5,123,7.2,0.9,4.2,3.1,1.983,0.02,3.9,16.806
1665,금본F,2010.11.09,18,7.5,124,6.6,0.9,4,1.7,1.335,0.027,3.2,18.017
1666,금본F,2010.11.16,17,7.5,127,7.4,0.7,3.5,1.7,1.438,0.019,3.4,17.903
1667,금본F,2010.11.23,14,7.7,131,13,0.7,4,1.5,1.368,0.035,3.9,17.531
1668,금본F,2010.12.07,13,7.6,128,8.3,0.7,3.2,2,1.346,0.017,2.2,17.849
1669,금본F,2010.12.21,10,7.9,135,8.8,0.7,3.3,2.6,1.501,0.027,2.5,17.947
1670,금본F,2011.01.18,5,7.8,133,10.5,0.7,3.3,1.2,1.329,0.011,2.3,27.872
1671,금본F,2011.01.25,5,7.8,136,11.9,0.7,3.5,0.5,1.308,0.008,2.3,29.537
1672,금본F,2011.02.08,4,7.8,136,10.6,0.6,3.3,3.4,1.32,0.012,2.2,24.345
1673,금본F,2011.02.15,4,8,135,13.1,0.6,4,0.9,1.454,0.002,2.3,24.285
1674,금본F,2011.02.22,4,8.1,133,13.5,0.6,3.5,2.3,1.692,0.006,2,23.93
1675,금본F,2011.03.08,5,8.1,134,12.7,0.7,3.3,2.1,1.366,0.009,1.8,28.819
1676,금본F,2011.03.15,5,8.4,130,13.1,0.6,3.2,1.1,1.663,0.002,1.8,23.412
1677,금본F,2011.03.22,5,8,136,13.8,0.6,3.5,4.3,1.315,0.013,1.9,23.292
1678,금본F,2011.03.29,4,7.5,118,13.9,0.6,3.4,1.5,1.396,0.003,1.8,21.929
1679,금본F,2011.04.05,4,7.5,118,13.9,0.6,3.7,1,1.33,0.005,2,23.222
1680,금본F,2011.04.12,7,7.9,139,12.2,0.6,3.5,1.3,1.519,0.007,2.1,23.693
1681,금본F,2011.04.19,7,7.2,142,12.8,0.6,3.5,2.9,1.454,0.006,2.1,24.112
1682,금본F,2011.04.26,6,7.7,141,12.3,0.7,3.7,1.6,1.33,0.007,2.2,23.08
1683,금본F,2011.05.03,8,8.1,141,13.4,0.9,4.4,1.5,1.299,0.027,3.1,28.598
1684,금본F,2011.05.11,9,7.6,139,11.4,0.8,4.1,0.7,1.344,0.006,2.9,23.147
1685,금본F,2011.05.18,8,7.7,140,13,0.6,3.7,1.3,1.319,0.007,2.6,88.395
1686,금본F,2011.05.24,8,7.7,149,12.2,0.6,3.8,1.9,1.461,0.01,3,106.446
1687,금본F,2011.05.31,12,7.9,144,11.1,1.1,3.7,2.9,1.677,0.013,3,235.009
1688,금본F,2011.06.08,13,7.6,141,9.2,1.1,3.9,2.4,1.857,0.041,3.1,223.174
1689,금본F,2011.06.14,16,7.7,143,10.7,1,4.3,2.3,2.111,0.184,3.6,109.711
1690,금본F,2011.06.21,16,7.7,143,10.1,1,4.5,2.2,1.999,0.082,3.4,39.015
1691,금본F,2011.06.28,21,8.5,144,9.6,0.8,4.6,3.5,1.83,0.039,2.8,228.798
1692,금본F,2011.07.05,18,7.4,128,8.5,0.8,4.7,7.6,2.279,0.048,3.1,161.454
1693,금본F,2011.07.19,21,7.2,87,8.7,1.3,3.4,39,2.132,0.124,3.4,272.466
1694,금본F,2011.07.26,22,7.8,108,8.4,0.6,3.9,25,2.097,0.064,2.9,226.338
1695,금본F,2011.08.02,21,7.8,96,8.4,1,5.6,23.2,2.13,0.135,3.8,233.086
1696,금본F,2011.08.17,22,7.6,85,8,0.8,5.5,19.3,1.913,0.054,3.5,228.627
1697,금본F,2011.08.23,22,7.5,89,7.5,1,4.8,10.5,1.828,0.046,3.2,136.307
1698,금본F,2011.08.30,21,7.8,87,7.7,0.8,5.1,6.1,1.766,0.028,3.5,43.131
1699,금본F,2011.09.20,22,8,95,7.5,0.7,4.6,3.3,1.805,0.037,2.8,29.072
1700,금본F,2011.09.27,22.3,7.8,95,6.7,0.8,4.9,3.8,1.844,0.029,3.5,24.723
1701,금본F,2011.10.05,21.6,7.7,105,7.1,1.2,3.8,3.5,1.604,0.036,3.2,16.821
1702,금본F,2011.10.11,19.6,7.7,105,8.5,0.9,4.3,2.6,1.837,0.026,3,20.699
1703,금본F,2011.10.19,20,8,105,8.5,1.5,4.2,2.8,1.603,0.029,3.2,15.875
1704,금본F,2011.10.25,18.7,8,109,10.8,1.5,4.2,2.8,1.667,0.015,3,17.139
1705,금본F,2011.11.01,19.4,7.8,109,9.5,0.3,5,2.9,1.54,0.025,3,17.442
1706,금본F,2011.11.08,15.9,8,127,8.9,0.7,3.8,2.7,1.456,0.021,2.8,16.395
1707,금본F,2011.11.15,16.5,7.8,126,10.4,0.6,4.3,2.6,1.428,0.02,2.7,16.37
1708,금본F,2011.11.22,16.4,7.5,119,8.5,0.7,3.7,2.7,1.423,0.015,2.8,13.042
1709,금본F,2011.11.29,15.4,7.7,120,10,0.6,3.8,2.8,1.461,0.018,2.8,12.841
1710,금본F,2011.12.06,10.9,7.9,122,10.8,0.8,3.4,3.3,1.575,0.015,2.6,16.735
1711,금본F,2011.12.13,11.7,7.9,134,10.1,0.6,3.6,2.8,1.517,0.014,2.9,15.81
1712,금본F,2012.01.10,4.9,7.7,134,15.6,0.7,3.6,1.6,1.491,0.016,3,29.566
